created_at,text,username
2021-12-10 01:48:23+00:00,Aura audio 2021 saya. Visualisasikan pengalamanmu mendengarkan di tahun ini dengan #SpotifyWrapped \nhttps://t.co/JvDogPeesU',WonderKid-
2021-12-10 01:47:30+00:00,Lagu teratas saya di 2021. Kalau kamu? #SpotifyWrapped \nhttps://t.co/USLY0rxvo9',WonderKid-
2021-12-10 01:47:18+00:00,"Tahun ini, saya mendengarkan selama 48.350 menit. Kalau kamu berapa lama? Cari tahu dengan #SpotifyWrapped \nhttps://t.co/maQIan9n1m'",WonderKid-
2021-12-10 01:46:25+00:00,"Kalau 2021 adalah sebuah film, inilah soundtrack saya. Kalau kamu? #SpotifyWrapped \nhttps://t.co/j3KwcpUsDy'",WonderKid-
2021-12-10 01:43:18+00:00,"Terima kasih, @pearljam, karena telah menghabiskan 699 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/bFhvJRK4Ep'",Canis Lupus Occidentalis
2021-12-10 01:35:01+00:00,"Terima kasih, @bts_bighit, karena telah menghabiskan 983 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/NFT6VZiHyB'",j ie hann
2021-12-10 01:34:17+00:00,Thank you Tulus for spending 337 minutes with me this year on @Spotify. You are my #1. #SpotifyWrapped https://t.co/cPsKWsRJuA\n\nNampak kali kan awak lelahnya terhadap diri sendiri.',🧱🧱🌋
2021-12-10 01:12:13+00:00,Yukk bisa jangan malas \xf0\x9f\x98\x82\xf0\x9f\x98\x82 #SpotifyWrapped #2021PodcasterWrapped https://t.co/LrZLl70DI9',FMフリーダ
2021-12-10 00:58:13+00:00,"Terima kasih, @bts_bighit, karena telah menghabiskan 5.383 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/JZNUlT1Dtg'",Wenny De-Is
2021-12-09 23:47:10+00:00,"Terima kasih, Hindia, karena telah menghabiskan 55 menit bersama saya tahun ini di @Spotify. #SpotifyWrapped https://t.co/CxTGJNeCAA'",dina
2021-12-09 23:38:23+00:00,"b""Terbaru tiap Jum'at \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8aROFA, Kakung Triadmojo @KakungTriadmojo \nhttps://t.co/3g713NSakc\n\n#JummahMubarak #stayhelp #SUGA #DonBelle #unprofessore #music #MusicVideo #SpotifyWrapped #iTunes\xe3\x82\xab\xe3\x83\xbc\xe3\x83\x89 #NowPlaying""",ROFA MUSIC
